continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG,flow_time
NoA,US,100.20.0.3,11,100.20.1.3,100.10.20.3,0.0.0.0,0,0,4,275,2014-08-22 01:30:46,2014-08-22 01:30:48,53,26153,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,2.0
NoA,US,100.10.20.3,11,100.10.20.3,100.20.1.3,0.0.0.0,0,0,5,270,2014-08-22 01:30:49,2014-08-22 01:30:51,26154,53,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,2.0
NoA,US,100.20.0.3,11,100.20.1.3,100.10.20.3,0.0.0.0,0,0,4,277,2014-08-22 01:30:49,2014-08-22 01:30:51,53,26154,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,2.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,40,54216,2014-08-24 02:50:51,2014-08-24 03:24:19,39820,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2008.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,23,1549,2014-08-24 02:50:51,2014-08-24 03:24:19,80,39820,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2008.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2014-08-24 03:24:25,2014-08-24 03:57:49,39825,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2004.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,23,1531,2014-08-24 03:24:25,2014-08-24 03:57:49,80,39825,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2004.0
EU,GB,92.6.84.69,11,92.6.85.101,100.10.20.4,0.0.0.0,0,0,6,388,2014-08-22 02:14:06,2014-08-22 02:15:10,38670,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,64.0
NoA,US,100.10.20.4,11,100.10.20.4,92.6.85.101,0.0.0.0,0,0,5,554,2014-08-22 02:14:06,2014-08-22 02:15:10,80,38670,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,64.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2014-08-22 02:14:58,2014-08-22 02:15:04,3306,2538,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,6.0
NoA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2014-08-22 02:14:58,2014-08-22 02:15:04,2538,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,6.0
